Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"F Tener, J Lanir","Driving from a distance: challenges and guidelines for autonomous vehicle teleoperation interfaces",2022,"Proceedings of the 2022 CHI Conference on Human …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3491102.3501827","https://scholar.google.com/scholar?cites=5079271148719136820&as_sdt=2005&sciodt=2007&hl=en",5,"2023-12-15 19:02:41","","10.1145/3491102.3501827","","",,,,,16,16.00,8,2,1,"… experience with AVs, teleoperation, command and … teleoperation driving sessions of AVs. Based on these interviews and observations, we created a framework of overall tele-driving …","https://dl.acm.org/doi/pdf/10.1145/3491102.3501827","https://scholar.google.com/scholar?q=related:NGBL2TIyfUYJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
59,"S Neumeier, EA Walelgne, V Bajpai…","Measuring the feasibility of teleoperated driving in mobile networks",2019,"2019 Network Traffic …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8784466/","https://scholar.google.com/scholar?cites=17363430362624332642&as_sdt=2005&sciodt=2007&hl=en",1,"2023-12-15 19:02:41","","","","",,,,,59,14.75,15,4,4,"… handover, distance of a remote car to the teleoperation station or signal strength … Teleoperated Driving can be feasible and observe that signal strength, the distance to the teleoperation …","https://ieeexplore.ieee.org/iel7/8777328/8784465/08784466.pdf","https://scholar.google.com/scholar?q=related:YpN0XutL9_AJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
14,"D Majstorović, S Hoffmann, F Pfab…","Survey on teleoperation concepts for automated vehicles",2022,"… on Systems, Man …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9945267/","https://scholar.google.com/scholar?cites=7289724678045985200&as_sdt=2005&sciodt=2007&hl=en",46,"2023-12-15 19:02:41","","","","",,,,,14,14.00,4,4,1,"… In this section, AV teleoperation concepts available in the literature are reviewed and … This review includes remote driving and remote assistance teleoperation concepts, while remote …","https://ieeexplore.ieee.org/iel7/9945068/9945069/09945267.pdf","https://scholar.google.com/scholar?q=related:sGlU2fhNKmUJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
27,"A Kousaridas, RP Manjunath…","QoS prediction for 5G connected and automated driving",2021,"IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9566486/","https://scholar.google.com/scholar?cites=13851576702713376937&as_sdt=2005&sciodt=2007&hl=en",63,"2023-12-15 19:02:41","","","","",,,,,27,13.50,9,3,2,"… The tele-operated driving use case is used as an example to analyze the feasibility of a QoS prediction scheme. Useful recommendations for the development of a QoS prediction …","https://ieeexplore.ieee.org/iel7/35/9566482/09566486.pdf","https://scholar.google.com/scholar?q=related:qbBOUJ-vOsAJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
54,"A Khasawneh, H Rogers, J Bertrand…","Human adaptation to latency in teleoperated multi-robot human-agent search and rescue teams",2019,"Automation in …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0926580517310890","https://scholar.google.com/scholar?cites=15623102848859328055&as_sdt=2005&sciodt=2007&hl=en",200,"2023-12-15 19:02:41","HTML","","","",,,,,54,13.50,14,4,4,"… Teleoperation of unmanned vehicles in high stress … of the human operator of a teleoperated robot at different levels of … Eighty participants operated one or two unmanned teleoperated …","https://www.sciencedirect.com/science/article/pii/S0926580517310890","https://scholar.google.com/scholar?q=related:N06nK0Rp0NgJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
12,"JM Marquez-Barja, D Naudts…","Designing a 5G architecture to overcome the challenges of the teleoperated transport and logistics",2022,"2022 IEEE 19th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9700565/","https://scholar.google.com/scholar?cites=5645015940387806683&as_sdt=2005&sciodt=2007&hl=en",50,"2023-12-15 19:02:41","","","","",,,,,12,12.00,4,3,1,"… To enable remote takeover, it is necessary to adjust the vehicles to steer and drive remotely … unit and cameras providing teleoperation functionality. Another essential component is the …","https://ieeexplore.ieee.org/iel7/9700484/9700495/09700565.pdf","https://scholar.google.com/scholar?q=related:25071hYgV04J:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
34,"M Hofbauer, CB Kuhn, G Petrovic…","Telecarla: An open source extension of the carla simulator for teleoperated driving research using off-the-shelf components",2020,"2020 IEEE Intelligent …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9304676/","https://scholar.google.com/scholar?cites=17172984182847860175&as_sdt=2005&sciodt=2007&hl=en",3,"2023-12-15 19:02:41","","","","",,,,,34,11.33,9,4,3,"… One important requirement for teleoperated vehicles is a … source framework for teleoperated driving research using low-… responsible for rendering the driving environment and providing …","https://ieeexplore.ieee.org/iel7/9304518/9304528/09304676.pdf","https://scholar.google.com/scholar?q=related:z20MwCCyUu4J:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
21,"S Livatino, DC Guastella, G Muscato, V Rinaldi…","Intuitive robot teleoperation through multi-sensor informed mixed reality visual aids",2021,"Ieee …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9349454/","https://scholar.google.com/scholar?cites=6275943742347341070&as_sdt=2005&sciodt=2007&hl=en",98,"2023-12-15 19:02:41","","","","",,,,,21,10.50,4,5,2,"… This paper addresses this challenge in remote-vehicle teleoperation by proposing an … The driver side of the teleoperation system consists of a PC remotely connected to the U-Go …","https://ieeexplore.ieee.org/iel7/6287639/6514899/09349454.pdf","https://scholar.google.com/scholar?q=related:Du3yEJWhGFcJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
41,"JM Georg, F Diermeyer","An adaptable and immersive real time interface for resolving system limitations of automated vehicles with teleoperation",2019,"2019 IEEE International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8914306/","https://scholar.google.com/scholar?cites=6199925692257421258&as_sdt=2005&sciodt=2007&hl=en",82,"2023-12-15 19:02:41","","","","",,,,,41,10.25,21,2,4,"… Figure 5 shows three different scenes during a live teleoperation test drive with the proposed interface. In the left image simple rectangular canvases are used to visualize the video …","https://ieeexplore.ieee.org/iel7/8906183/8913838/08914306.pdf","https://scholar.google.com/scholar?q=related:ykfSiJGPClYJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
10,"Y Yu, S Lee","Remote driving control with real-time video streaming over wireless networks: Design and evaluation",2022,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9797698/","https://scholar.google.com/scholar?cites=373818161816579885&as_sdt=2005&sciodt=2007&hl=en",42,"2023-12-15 19:02:41","","","","",,,,,10,10.00,5,2,1,"… of remote driving. We design a vehicle remote driving system based on ROS (Robot Operating System) with ROS as the core communication architecture to realize remote control of …","https://ieeexplore.ieee.org/iel7/6287639/6514899/09797698.pdf","https://scholar.google.com/scholar?q=related:La-qOaMRMAUJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
20,"JZ Xu, MF Ge, ZW Liu, WY Zhang…","Force-reflecting hierarchical approach for human-aided teleoperation of NRS with event-triggered local communication",2021,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9390311/","https://scholar.google.com/scholar?cites=1179642789559584064&as_sdt=2005&sciodt=2007&hl=en",122,"2023-12-15 19:02:41","","","","",,,,,20,10.00,4,5,2,"… The control objective of such human-aided teleoperation problem is … drive all the slave ones to track the master in a fixed time, thus allowing the human operator to flexibly and remotely …","https://ieeexplore.ieee.org/iel7/41/4387790/09390311.pdf","https://scholar.google.com/scholar?q=related:QMWM-d3uXhAJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
10,"O Amador, M Aramrattana, A Vinel","A Survey on Remote Operation of Road Vehicles",2022,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9984654/","https://scholar.google.com/scholar?cites=2016349849750509768&as_sdt=2005&sciodt=2007&hl=en",146,"2023-12-15 19:02:41","","","","",,,,,10,10.00,3,3,1,"… Remote operation or teleoperation of robots and vehicles has been widely studied in … consider remote driving as Driving Automation. In our analysis, remote driving covers SAE’s driving …","https://ieeexplore.ieee.org/iel7/6287639/6514899/09984654.pdf","https://scholar.google.com/scholar?q=related:yJhKWYGD-xsJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
19,"GG Muscolo, S Marcheschi, M Fontana, M Bergamasco","Dynamics modeling of human–machine control interface for underwater teleoperation",2021,"Robotica","cambridge.org","https://www.cambridge.org/core/journals/robotica/article/dynamics-modeling-of-humanmachine-control-interface-for-underwater-teleoperation/F9D5F01E7A0D0CF94CE70CC6692078F5","https://scholar.google.com/scholar?cites=5248491526326361861&as_sdt=2005&sciodt=2007&hl=en",118,"2023-12-15 19:02:41","","","","",,,,,19,9.50,5,4,2,"… forces experienced by the remote vehicle. The proposed underwater haptic control system is integrated in a real-time modeling environment to drive a hybrid remotely operated vehicle (…","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F9D5F01E7A0D0CF94CE70CC6692078F5/S0263574720000624a.pdf/dynamics_modeling_of_humanmachine_control_interface_for_underwater_teleoperation.pdf","https://scholar.google.com/scholar?q=related:BZ9USTxj1kgJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
9,"A Schimpe, J Feiler, S Hoffmann…","Open source software for teleoperated driving",2022,"… Vehicle and Expo …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9742859/","https://scholar.google.com/scholar?cites=12782559168826981033&as_sdt=2005&sciodt=2007&hl=en",6,"2023-12-15 19:02:41","","","","",,,,,9,9.00,2,4,1,"… the application of teleoperation in the area of automated driving, ie, teleoperated driving (ToD)… Therefore, this paper presents software for carrying out research into various teleoperation …","https://ieeexplore.ieee.org/iel7/9741822/9742718/09742859.pdf","https://scholar.google.com/scholar?q=related:qTpY0tbFZLEJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
9,"F Mason, M Drago, T Zugno, M Giordani…","A reinforcement learning framework for pqos in a teleoperated driving scenario",2022,"2022 IEEE Wireless …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9771590/","https://scholar.google.com/scholar?cites=256240920747488681&as_sdt=2005&sciodt=2007&hl=en",18,"2023-12-15 19:02:41","","","","",,,,,9,9.00,2,5,1,"… We consider a teleoperated driving scenario, in which connected vehicles are controlled by a remote driver (either human or software). In view of the highly dynamic nature of the V2X …","https://ieeexplore.ieee.org/iel7/9771381/9771540/09771590.pdf","https://scholar.google.com/scholar?q=related:qbUSgsJZjgMJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
9,"P Perez, J Ruiz, I Benito, R Lopez","A parametric quality model to evaluate the performance of tele-operated driving services over 5G networks",2022,"Multimedia Tools and Applications","Springer","https://link.springer.com/article/10.1007/s11042-021-11251-x","https://scholar.google.com/scholar?cites=11869242291051978201&as_sdt=2005&sciodt=2007&hl=en",19,"2023-12-15 19:02:41","HTML","10.1007/s11042-021-11251-x","","",,,,,9,9.00,2,4,1,"… In Section 2 we summarize the state of the art in three different areas: Tele-operated Driving, QoE parametric models, and open 4G/5G trace datasets. In Section 3 we describe the ToD …","https://link.springer.com/article/10.1007/s11042-021-11251-x","https://scholar.google.com/scholar?q=related:2V0yT_oEuKQJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
9,"M Hofbauer, CB Kuhn, M Khlifi…","Traffic-aware multi-view video stream adaptation for teleoperated driving",2022,"2022 IEEE 95th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9860513/","https://scholar.google.com/scholar?cites=14322568853895436292&as_sdt=2005&sciodt=2007&hl=en",22,"2023-12-15 19:02:41","","","","",,,,,9,9.00,2,4,1,"… In this work, we proposed a framework for increasing the video quality and scene understanding of remote operation in teleoperated driving. We proposed to consider vehicle …","https://ieeexplore.ieee.org/iel7/9860273/9860350/09860513.pdf","https://scholar.google.com/scholar?q=related:BNiCB338w8YJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
27,"JM Georg, J Feiler, S Hoffmann…","Sensor and actuator latency during teleoperation of automated vehicles",2020,"2020 IEEE Intelligent …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9304802/","https://scholar.google.com/scholar?cites=12985888201007500045&as_sdt=2005&sciodt=2007&hl=en",71,"2023-12-15 19:02:41","","","","",,,,,27,9.00,7,4,3,"… driving, backup options like teleoperation become a relevant solution for critical scenarios an automated vehicle might face. To enable teleoperated … While most of the teleoperation …","https://ieeexplore.ieee.org/iel7/9304518/9304528/09304802.pdf","https://scholar.google.com/scholar?q=related:DQv9QYQkN7QJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
18,"M Boban, M Giordani, M Zorzi","Predictive quality of service: The next frontier for fully autonomous systems",2021,"IEEE Network","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9687461/","https://scholar.google.com/scholar?cites=8021817019017456054&as_sdt=2005&sciodt=2007&hl=en",95,"2023-12-15 19:02:41","","","","",,,,,18,9.00,6,3,2,"… in a teleoperated-driving-like use case as a function of different measurement signals. … For example, if the upcoming QoS is not sufficient to handle teleoperated driving, the network may …","https://ieeexplore.ieee.org/iel7/65/9687459/09687461.pdf","https://scholar.google.com/scholar?q=related:tum3zxM4U28J:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
9,"S Kinoshita","System and method for teleoperation service for vehicle",2022,"US Patent 11,325,591","Google Patents","https://patents.google.com/patent/US11325591B2/en","https://scholar.google.com/scholar?cites=11023506201681595230&as_sdt=2005&sciodt=2007&hl=en",140,"2023-12-15 19:02:41","","","","",,,,,9,9.00,9,1,1,"… server may select the vehicle (for example an autonomous vehicle) and a teleoperation device/teleoperator to remotely drive the selected vehicle from the start point to the destination …","https://patentimages.storage.googleapis.com/96/af/83/b6171cbe746ec6/US11325591.pdf","https://scholar.google.com/scholar?q=related:XguMQnxc-5gJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
25,"RDR Beira","Mechanical teleoperated device for remote manipulation",2020,"US Patent 10,568,709","Google Patents","https://patents.google.com/patent/US10568709B2/en","https://scholar.google.com/scholar?cites=1817607949507587638&as_sdt=2005&sciodt=2007&hl=en",116,"2023-12-15 19:02:41","","","","",,,,,25,8.33,25,1,3,"… translates along a virtual axis parallel to the longitudinal axis of said guided master link in the vicinity of the remote manipulation when the mechanical teleoperated device is operated. …","https://patentimages.storage.googleapis.com/04/6d/f4/4189f3030d8dca/US10568709.pdf","https://scholar.google.com/scholar?q=related:Nm5Ty8xwORkJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
25,"BM Schena, N Smaby, IIGW Dachs","Method for engaging surgical instrument with teleoperated actuator",2020,"US Patent 10,543,051","Google Patents","https://patents.google.com/patent/US10543051B2/en","https://scholar.google.com/scholar?cites=16771801440477332219&as_sdt=2005&sciodt=2007&hl=en",161,"2023-12-15 19:02:41","","","","",,,,,25,8.33,8,3,3,"… with a teleoperated actuator drive while preventing contamination of the teleoperated actuator … from the teleoperated actuator drive to the surgical instrument through a sterile barrier. …","https://patentimages.storage.googleapis.com/f4/51/3c/9f1157da635924/US10543051.pdf","https://scholar.google.com/scholar?q=related:-0IJn4xowegJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
16,"K Kuru","Conceptualisation of human-on-the-loop haptic teleoperation with fully autonomous self-driving vehicles in the urban environment",2021,"IEEE Open Journal of Intelligent Transportation …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9637501/","https://scholar.google.com/scholar?cites=17828411511016700251&as_sdt=2005&sciodt=2007&hl=en",23,"2023-12-15 19:02:41","","","","",,,,,16,8.00,16,1,2,"… teleoperate remote objects within the cyber-world. Human-on-the-loop (HOTL) haptic teleoperation … driving in the remote vehicle can help overcome the challenging tasks when the …","https://ieeexplore.ieee.org/iel7/8784355/8957420/09637501.pdf","https://scholar.google.com/scholar?q=related:W7mib889a_cJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
32,"D Hetzer, M Muehleisen, A Kousaridas…","5g connected and automated driving: Use cases and technologies in cross-border environments",2019,"… on networks and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8801993/","https://scholar.google.com/scholar?cites=60470242039713066&as_sdt=2005&sciodt=2007&hl=en",51,"2023-12-15 19:02:41","","","","",,,,,32,8.00,8,4,4,"… Tele-operated driving is defined as the remote control of automated vehicles by a … to remote control by a human tele-operator. Tele-operated driving in the context of automated driving …","https://ieeexplore.ieee.org/iel7/8787237/8801946/08801993.pdf","https://scholar.google.com/scholar?q=related:Kk1CYF3V1gAJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
22,"N Goodall","Non-technological challenges for the remote operation of automated vehicles",2020,"Transportation research part A: policy and practice","Elsevier","https://www.sciencedirect.com/science/article/pii/S0965856420307369","https://scholar.google.com/scholar?cites=2285730411384398134&as_sdt=2005&sciodt=2007&hl=en",69,"2023-12-15 19:02:41","HTML","","","",,,,,22,7.33,22,1,3,"… the capability for human drivers to operate the vehicle from a remote location using wireless communication. This practice, referred to as remote operation or teleoperation, is prevalent …","https://www.sciencedirect.com/science/article/pii/S0965856420307369","https://scholar.google.com/scholar?q=related:NuHf5rKLuB8J:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
28,"JS Hummelshøj","Input from a plurality of teleoperators for decision making regarding a predetermined driving situation",2019,"US Patent 10,503,165","Google Patents","https://patents.google.com/patent/US10503165B2/en","https://scholar.google.com/scholar?cites=14645682588934100985&as_sdt=2005&sciodt=2007&hl=en",157,"2023-12-15 19:02:41","","","","",,,,,28,7.00,28,1,4,"… from a first teleoperator responsive to a predetermined driving … second teleoperator responsive to the predetermined driving … response to the predetermined driving situation; and control …","https://patentimages.storage.googleapis.com/1f/bf/6f/5eddf62c8f1046/US10503165.pdf","https://scholar.google.com/scholar?q=related:-VeK7rfqP8sJ:scholar.google.com/&scioq=teleoperated+driving+remote+driving&hl=en&as_sdt=2007&as_ylo=2019&as_yhi=2023"
